report_id|region|sub_region|application_area|observing_programme|report_type|station_name|station_type|platform_type|platform_sub_type|primary_station_id|station_record_number|primary_station_id_scheme|longitude|latitude|location_accuracy|location_method|location_quality|crs|station_speed|station_course|station_heading|height_of_station_above_local_ground|height_of_station_above_sea_level|height_of_station_above_sea_level_accuracy|sea_level_datum|report_meaning_of_timestamp|report_timestamp|report_duration|report_time_accuracy|report_time_quality|report_time_reference|profile_id|events_at_station|report_quality|duplicate_status|duplicates|record_timestamp|history|processing_level|processing_codes|source_id|source_record_id
ICOADS-300-05JHAP|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|10358|1|8|-41.50|42.50|14|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-02 23:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-091-201-1899-01|05JHAP
ICOADS-300-05JHAS|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|null|1|8|11.50|36.50|142|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-02 23:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-001-193-1899-01|05JHAS
ICOADS-300-05JHAT|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|null|1|8|18.50|36.50|142|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-02 23:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-001-193-1899-01|05JHAT
ICOADS-300-05JHAR|null|null|{1,7,10,11}|null|0|null|2|null|null|null|1|8|-41.00|30.00|null|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-02 23:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-004-156-1899-01|05JHAR
ICOADS-300-05JHAU|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|null|1|8|72.50|1.50|157|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-02 23:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-001-193-1899-01|05JHAU
ICOADS-300-05JHAV|null|null|{1,7,10,11}|null|0|null|2|null|null|null|1|8|10.00|-28.00|null|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-02 23:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-004-156-1899-01|05JHAV
ICOADS-300-05JHAW|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|61031846|1|8|77.50|-39.50|140|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-02 23:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-001-192-1899-01|05JHAW
ICOADS-300-05JHAX|null|null|{1,7,10,11}|null|0|null|2|null|null|null|1|8|-45.00|-46.00|null|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-02 23:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-004-156-1899-01|05JHAX
ICOADS-300-05JHAY|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|Belgica|1|8|-86.93|-70.22|null|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-02 23:12:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-127-246-1899-01|05JHAY
ICOADS-300-05JHB0|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|10333|1|8|-6.50|55.50|13|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-091-201-1899-01|05JHB0
ICOADS-300-05JHB1|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|null|1|8|0.50|50.50|132|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-001-193-1899-01|05JHB1
ICOADS-300-05JHB3|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|10394|1|8|-123.50|48.50|13|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-091-201-1899-01|05JHB3
ICOADS-300-05JHB6|null|null|{1,7,10,11}|null|0|null|2|null|null|null|1|8|-9.00|48.00|null|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-004-156-1899-01|05JHB6
ICOADS-300-05JHB7|null|null|{1,7,10,11}|null|0|null|2|null|null|null|1|8|-8.00|48.00|null|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-004-156-1899-01|05JHB7
ICOADS-300-05JHB8|null|null|{1,7,10,11}|null|0|null|2|null|null|null|1|8|-4.00|45.00|null|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-004-156-1899-01|05JHB8
ICOADS-300-05JHB4|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|null|1|8|-63.50|41.50|139|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-001-193-1899-01|05JHB4
ICOADS-300-05JHB5|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|null|1|8|-62.50|41.50|139|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-001-193-1899-01|05JHB5
ICOADS-300-05JHBB|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|null|1|8|0.50|38.50|141|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-001-193-1899-01|05JHBB
ICOADS-300-05JHB9|null|null|{1,7,10,11}|null|0|null|2|null|null|null|1|8|-69.00|37.00|null|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-004-156-1899-01|05JHB9
ICOADS-300-05JHBA|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|10321|1|8|-54.50|35.50|14|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-091-201-1899-01|05JHBA
ICOADS-300-05JHBC|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|01093427|1|8|-56.50|24.50|150|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-001-192-1899-01|05JHBC
ICOADS-300-05JHBE|null|null|{1,7,10,11}|null|0|null|2|null|null|null|1|8|-63.00|19.00|null|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-004-156-1899-01|05JHBE
ICOADS-300-05JHBD|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|null|1|8|55.50|11.50|155|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-001-193-1899-01|05JHBD
ICOADS-300-05JHBG|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|10392|1|8|124.50|-8.50|16|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-091-201-1899-01|05JHBG
ICOADS-300-05JHBH|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|null|1|8|-6.50|-14.50|154|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-001-193-1899-01|05JHBH
ICOADS-300-05JHBI|null|null|{1,7,10,11}|null|0|null|2|null|null|null|1|8|-1.00|-19.00|null|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-004-156-1899-01|05JHBI
ICOADS-300-05JHBJ|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|null|1|8|56.50|-26.50|149|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-001-193-1899-01|05JHBJ
ICOADS-300-05JHBK|null|null|{1,7,10,11}|{5,7,56}|0|null|2|2|null|10399|1|8|178.50|-29.50|15|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-091-201-1899-01|05JHBK
ICOADS-300-05JHBM|null|null|{1,7,10,11}|null|0|null|2|null|null|null|1|8|-51.00|-35.00|null|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-004-156-1899-01|05JHBM
ICOADS-300-05JHBL|null|null|{1,7,10,11}|null|0|null|2|null|null|null|1|8|-55.00|-39.00|null|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-004-156-1899-01|05JHBL
ICOADS-300-05JHBQ|null|null|{1,7,10,11}|null|0|null|2|null|null|null|1|8|8.00|-40.00|null|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-004-156-1899-01|05JHBQ
ICOADS-300-05JHBN|null|null|{1,7,10,11}|null|0|null|2|null|null|null|1|8|-58.00|-41.00|null|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-004-156-1899-01|05JHBN
ICOADS-300-05JHBO|null|null|{1,7,10,11}|null|0|null|2|null|null|null|1|8|-56.00|-42.00|null|null|0|0|null|null|null|0.0|0.0|null|null|2|1899-01-03 00:00:00|11|3600|2|null|null|null|0|4|null|2025-11-27 13:07:46|2025-11-27 13:07:46. Initial conversion from ICOADS R3.0.0T|null|null|ICOADS-3-0-0T-004-156-1899-01|05JHBO
